topic,category
0,Programs
1,Miscellaneous
2,Auth
3,Miscellaneous
4,Anonymity & censorship
5,Programs
6,Miscellaneous
7,Malware
8,Web
9,Auth
10,Miscellaneous
11,Anonymity & censorship
12,Virtual
13,Virtual
14,System
15,Programs
16,Information leakage
17,Crypto
18,Crypto
19,Web
20,Crime & fraud
21,Data
22,Data
23,Crypto
24,Internet
25,Miscellaneous
26,Miscellaneous
27,Hardware
28,Miscellaneous
29,Crypto
30,System
31,Miscellaneous
32,Formalism
33,Formalism
34,Formalism
35,Miscellaneous
36,Data
37,Crypto
38,Hardware
39,Hardware
40,Hardware
41,Programs
42,Miscellaneous
43,Malware
44,Programs
45,Web
46,System
47,Crypto
48,Mobile
49,Hardware
50,Malware
51,Information leakage
52,Programs
53,Method
54,Method
55,Method
56,Method
57,Mobile
58,Mobile
59,Mobile
60,Network
61,Crypto
62,Network
63,Network
64,Network
65,Crime & fraud
66,Web
67,Auth
68,Anonymity & censorship
69,Programs
70,Crypto
71,Crypto
72,Miscellaneous
73,Network
74,Internet
75,Computation
76,Formalism
77,Formalism
78,Information leakage
79,Anonymity & censorship
80,Trust
81,Crime & fraud
82,Programs
83,System
84,Internet
85,Anonymity & censorship
86,Trust
87,Trust
88,Crime & fraud
89,Computation
90,Virtual
91,Malware
92,Programs
93,Web
94,Miscellaneous