Topic,Topic,Year,Paper count
0,4,2014,1
0,9,2013,1
0,9,2015,1
0,10,2012,1
0,10,2004,1
0,11,2012,1
0,12,2010,1
0,12,2006,1
0,14,2015,1
0,20,2013,1
0,20,2014,1
0,26,2004,1
0,26,2015,2
0,27,1990,1
0,27,1993,1
0,27,1995,1
0,27,1998,1
0,27,1999,1
0,27,2000,1
0,27,2002,3
0,27,2004,1
0,27,2005,1
0,27,2006,1
0,27,2011,1
0,27,2013,1
0,32,2005,1
0,33,2013,1
0,33,1997,1
0,34,2012,1
0,34,2013,1
0,35,1991,1
0,40,2012,1
0,47,1996,1
0,47,1997,1
0,47,1999,2
0,47,2000,3
0,47,2001,1
0,47,2002,1
0,47,2004,1
0,47,2010,1
0,47,2015,1
0,48,2004,1
0,53,1993,1
0,53,2003,1
0,53,1997,1
0,53,2013,1
0,54,2000,1
0,56,2000,1
0,57,2009,1
0,58,1992,1
0,58,1999,3
0,58,2001,2
0,58,2002,1
0,58,2006,1
0,58,2008,1
0,58,2009,1
0,58,2010,1
0,58,2014,1
0,62,2013,1
0,64,2013,1
0,68,1984,1
0,69,1989,1
0,69,1981,1
0,75,2013,1
0,77,2005,1
0,81,1994,1
0,81,1996,1
0,81,1999,1
0,81,2005,2
0,81,2006,1
0,81,2007,1
0,83,2014,1
0,85,2002,1
0,85,1998,1
0,85,1999,2
0,86,2014,1
0,94,1998,1
1,6,2014,1
1,8,2004,1
1,8,2015,1
1,21,2013,1
1,31,2012,1
1,33,2013,1
1,35,2002,1
1,36,2009,1
1,41,2009,2
1,41,2011,1
1,41,2012,2
1,41,2015,1
1,44,2008,1
1,44,2012,1
1,44,2002,1
1,44,2004,1
1,44,2005,1
1,48,2009,1
1,48,2012,1
1,48,2014,3
1,60,1986,1
1,60,1982,1
1,64,2008,1
1,64,2009,1
1,64,2011,1
1,64,2014,1
1,66,2011,1
1,66,2012,1
1,66,2007,1
1,67,2003,1
1,67,2006,1
1,67,2007,1
1,67,2008,1
1,67,2009,1
1,67,2011,3
1,67,2013,1
1,67,2014,2
1,67,2015,1
1,68,2004,1
1,68,2014,2
1,68,2006,1
1,68,2008,1
1,68,2009,1
1,68,2012,2
1,68,2013,2
1,68,1982,1
1,71,2008,1
1,73,2013,1
1,77,2007,1
1,84,2008,1
1,84,2014,1
2,3,2012,1
2,3,2007,1
2,10,2009,1
2,10,2005,1
2,13,2008,1
2,13,2009,1
2,25,1991,1
2,26,1993,1
2,26,2007,4
2,26,2004,1
2,26,2006,2
2,26,2009,1
2,27,2000,1
2,27,2001,1
2,27,2002,1
2,31,2011,1
2,32,2013,1
2,35,2002,1
2,35,2003,1
2,35,1989,1
2,40,1996,1
2,40,2000,1
2,40,2001,2
2,40,2003,1
2,40,2005,2
2,40,2006,1
2,40,2007,1
2,40,2012,1
2,49,2009,1
2,49,2010,1
2,51,1991,1
2,52,1996,1
2,52,1991,1
2,53,2013,1
2,55,2002,1
2,57,2008,1
2,57,2009,1
2,57,2013,1
2,57,2014,2
2,57,2007,1
2,70,2014,1
2,73,2002,1
2,79,2006,1
2,85,2001,1
2,88,2007,1
2,89,1989,1
2,91,2009,2
2,91,2002,1
2,91,2014,2
3,16,2001,1
3,17,2005,1
3,22,1984,1
3,22,1989,1
3,22,1990,1
3,22,1991,2
3,22,1992,1
3,22,1993,5
3,22,1994,3
3,22,1995,1
3,22,1997,1
3,22,1998,1
3,22,1999,1
3,22,2000,2
3,22,2001,1
3,22,2005,1
3,22,2006,1
3,24,1998,1
3,27,1998,1
3,35,1985,1
3,35,1988,1
3,35,1997,1
3,38,2005,1
3,47,2002,1
3,51,1994,2
3,51,1987,1
3,51,1986,1
3,51,1990,1
3,51,1991,1
3,53,2002,1
3,53,2010,1
3,53,1990,1
3,56,1991,1
3,57,2002,1
3,57,2007,1
3,68,1994,1
3,68,1990,1
3,68,1991,1
3,69,1998,1
3,83,2009,2
3,83,2010,1
3,88,1995,1
3,88,2005,1
3,88,2007,1
3,89,1993,1
3,89,1990,1
3,94,2010,1
4,5,2010,1
4,6,2012,1
4,7,2012,1
4,10,2012,2
4,10,2015,1
4,15,2010,1
4,20,2014,1
4,29,2011,1
4,40,2010,1
4,58,2014,1
4,58,2015,1
4,62,2014,1
4,62,2015,1
4,63,2007,1
4,63,2010,1
4,63,2011,1
4,63,2012,1
4,63,2014,1
4,63,2015,1
4,72,2014,1
4,74,2010,1
4,75,2012,1
4,88,2011,1
4,88,2014,1
5,6,2013,1
5,6,2014,3
5,6,2015,6
5,8,2009,1
5,8,2005,1
5,9,2004,1
5,9,2014,1
5,9,2015,1
5,12,2005,1
5,14,2008,1
5,14,1985,1
5,14,2011,1
5,14,2006,1
5,15,2010,1
5,15,2011,1
5,15,2012,1
5,15,2014,1
5,15,1998,1
5,17,2005,1
5,17,2014,1
5,19,2009,1
5,19,2006,1
5,19,2007,1
5,24,1998,1
5,27,1995,1
5,31,2009,1
5,31,2011,1
5,33,2014,1
5,33,2015,3
5,34,2011,1
5,34,2012,2
5,34,2015,1
5,35,2014,1
5,40,2010,1
5,40,2006,1
5,41,2015,1
5,44,2013,1
5,44,2006,1
5,45,2011,1
5,45,2014,1
5,45,2015,1
5,49,2014,1
5,54,2005,1
5,58,2011,1
5,58,2015,1
5,60,2011,1
5,60,1988,1
5,61,2014,1
5,63,2004,1
5,63,2005,1
5,63,2009,1
5,63,2010,1
5,63,2012,1
5,63,2013,2
5,63,2014,2
5,67,2007,1
5,69,1992,1
5,71,2010,1
5,71,2006,1
5,73,2014,1
5,74,1998,1
5,74,2007,1
5,74,2008,1
5,74,2009,1
5,74,2010,2
5,74,2013,1
5,74,2014,1
5,75,1995,1
5,78,2005,1
5,79,1994,1
5,89,1985,1
6,10,2015,1
6,14,2013,2
6,26,2013,1
6,31,2015,1
6,33,2013,1
6,33,2014,1
6,33,2015,5
6,34,2012,1
6,34,2015,1
6,40,2012,1
6,40,2013,2
6,40,2015,2
6,41,2015,1
6,44,2013,1
6,44,2014,1
6,44,2015,1
6,48,2013,1
6,48,2014,1
6,49,2015,1
6,52,2014,1
6,52,2015,1
6,54,2015,1
6,55,2012,1
6,55,2013,1
6,55,2015,1
6,58,2012,1
6,58,2014,2
6,58,2015,1
6,61,2014,1
6,61,2015,1
6,64,2011,1
6,67,2014,1
6,71,2009,1
6,71,2012,2
6,71,2014,3
6,71,2015,2
6,72,2014,1
6,73,2013,1
6,73,2014,1
6,73,2015,1
6,74,2014,2
6,83,2014,1
6,84,2011,1
6,84,2015,1
6,91,2015,1
7,10,2000,1
7,10,1996,1
7,10,1990,1
7,27,1993,1
7,32,1993,1
7,34,2015,1
7,49,1993,1
7,49,1995,1
7,63,2012,1
7,69,1984,2
7,69,1985,1
7,69,1986,1
7,69,1989,1
7,69,1990,1
7,69,1993,2
7,69,1995,2
7,69,1996,2
7,69,2000,1
7,69,2002,1
7,69,1980,1
7,69,1982,1
7,69,2015,1
7,87,1995,1
7,88,1984,1
8,9,2014,1
8,13,2004,1
8,17,2004,1
8,17,2005,1
8,17,2015,1
8,27,2004,1
8,29,2005,1
8,31,2009,1
8,32,2013,1
8,40,2004,1
8,52,2000,1
8,53,1987,1
8,53,2015,1
8,57,2000,1
8,57,2004,1
8,57,2013,2
8,67,2010,2
8,67,2012,1
8,67,2006,1
8,68,2003,1
8,68,2004,2
8,68,2007,2
8,68,2009,2
8,68,2011,1
8,68,2012,2
8,68,2013,3
8,73,2014,1
8,75,2004,1
8,83,2009,1
8,89,1987,1
8,91,2010,1
8,91,2004,1
8,91,2013,1
8,93,2012,1
9,10,2010,1
9,10,2007,1
9,12,2011,2
9,16,2010,1
9,20,2010,1
9,20,2012,1
9,20,2013,1
9,27,2013,1
9,27,2007,1
9,30,2002,1
9,34,2012,1
9,34,2007,1
9,43,2015,1
9,44,2002,1
9,58,2010,1
9,58,2011,1
9,58,2012,1
9,58,2014,2
9,58,2015,1
9,59,2006,1
9,61,2014,1
9,61,2015,1
9,62,2012,2
9,62,2013,2
9,62,2014,2
9,62,2015,4
9,63,2010,2
9,63,2004,1
9,63,2006,1
9,71,2006,1
9,71,2008,1
9,71,2010,1
9,71,2012,1
9,71,2013,1
9,71,2014,1
9,71,2015,1
9,72,2009,1
9,72,2010,1
9,72,2012,2
9,72,2013,1
9,72,2014,1
9,73,2014,1
9,73,2006,1
9,74,2010,1
9,74,2012,1
9,91,2013,1
9,94,2014,1
10,13,2007,1
10,15,2001,1
10,20,2009,1
10,20,2012,1
10,26,2000,1
10,26,2004,1
10,26,2012,1
10,26,2013,1
10,26,2014,1
10,26,2015,1
10,28,2012,1
10,28,2014,3
10,32,2004,1
10,34,2011,1
10,34,2012,1
10,36,2012,1
10,40,2011,1
10,40,2012,1
10,40,2006,1
10,40,2007,1
10,43,2014,1
10,50,2014,1
10,50,2015,1
10,53,2014,1
10,57,2009,1
10,57,2011,1
10,57,2014,1
10,57,2006,1
10,57,2015,1
10,58,2014,1
10,63,2015,1
10,68,2007,1
10,69,2000,1
10,69,1993,1
10,69,1994,1
10,69,1996,1
10,69,1990,1
10,71,2008,1
10,71,2009,1
10,72,2010,1
10,72,2013,1
10,75,2004,1
10,75,2012,3
10,75,2013,1
10,75,2014,1
10,79,2012,1
10,79,2014,1
10,81,2014,1
10,84,2009,1
10,88,2011,2
10,88,2006,1
10,91,2009,1
10,92,2013,1
10,92,2015,1
11,27,2003,1
11,27,2007,1
11,28,2001,1
11,29,2012,1
11,29,2014,1
11,33,2007,1
11,39,2008,1
11,53,2000,1
11,55,2011,1
11,58,2015,1
11,58,2007,1
11,62,2015,1
11,63,2002,1
11,63,2007,1
11,63,2015,1
11,64,2013,1
11,76,2009,1
11,76,2015,1
11,81,2013,1
11,81,2015,1
11,85,2003,1
11,85,2013,1
11,86,2013,1
11,94,2005,1
12,14,2007,1
12,17,2011,1
12,25,2009,1
12,36,2010,1
12,40,2015,1
12,44,2005,1
12,44,2006,3
12,44,2007,1
12,44,2010,1
12,44,2013,2
12,44,2014,2
12,44,2015,3
12,46,2008,1
12,54,2005,1
12,72,2008,1
12,73,2010,1
12,73,2013,1
12,73,2014,1
12,73,2015,2
12,77,2012,1
12,81,2014,1
12,83,2007,1
12,88,2014,2
12,93,2009,1
13,17,2013,1
13,19,2001,1
13,33,1994,1
13,37,2012,1
13,49,2009,1
13,49,1999,1
13,50,2013,1
13,51,1982,1
13,55,2004,1
13,55,2003,1
13,55,2012,1
13,55,2015,1
13,57,1993,1
13,57,1996,1
13,57,1998,1
13,57,1999,2
13,57,2001,3
13,57,2003,1
13,57,2004,1
13,57,2008,2
13,57,2009,1
13,57,2011,1
13,57,2012,1
13,57,2013,1
13,57,2014,1
13,60,2014,1
13,68,1994,1
13,68,1996,1
13,68,2002,1
13,68,2003,1
13,68,2007,1
13,68,1983,1
13,69,1993,1
13,75,1996,1
13,75,2003,1
13,75,2012,1
13,76,1998,1
13,78,2001,1
13,78,1996,1
13,78,1999,1
13,87,2001,1
13,87,2013,1
13,88,1997,1
13,88,1999,1
13,89,1985,1
13,89,1982,1
13,91,2009,1
13,91,2011,1
13,91,2004,1
13,91,1999,1
14,15,2011,1
14,16,2004,1
14,35,1989,1
14,35,1990,1
14,35,1991,1
14,35,1997,1
14,35,2000,1
14,35,2004,1
14,35,2005,1
14,36,2008,1
14,44,2006,1
14,47,2009,1
14,47,1989,1
14,47,2007,1
14,53,2008,1
14,53,2007,1
14,54,2006,1
14,56,1985,1
14,57,2013,1
14,63,2015,1
14,65,2009,1
14,69,1987,2
14,69,2007,1
14,73,2009,1
14,74,2009,1
14,74,2015,1
14,75,2013,1
14,83,2008,1
14,83,2003,1
14,83,1998,1
14,83,2007,1
14,85,1999,1
14,89,1985,1
14,89,1996,1
14,89,1989,1
15,25,1998,1
15,26,2011,1
15,26,2006,1
15,33,2006,1
15,35,2000,1
15,40,2000,1
15,40,2009,1
15,40,2002,1
15,40,2003,1
15,40,2010,1
15,44,2011,1
15,52,1997,1
15,58,2013,1
15,59,2012,1
15,60,2011,1
15,71,2013,1
15,71,2007,1
15,73,2015,1
15,79,2002,1
15,83,2011,1
16,20,2010,1
16,27,1997,1
16,35,1986,1
16,35,2004,1
16,39,2005,1
16,39,1999,1
16,40,2000,1
16,40,2001,1
16,51,1993,1
16,51,2002,1
16,53,1986,1
16,56,2000,1
16,57,2003,1
16,57,2013,1
16,63,2010,1
16,73,2006,1
16,75,2013,1
16,85,2000,1
16,88,1995,1
16,91,2001,1
16,91,2003,1
16,91,2004,1
16,94,2002,1
16,94,2003,1
17,20,2007,1
17,21,2011,1
17,21,2014,1
17,21,2006,1
17,22,2001,1
17,22,2002,1
17,22,2005,1
17,25,1993,1
17,25,1994,1
17,25,2012,2
17,25,2002,1
17,25,2005,1
17,26,2002,1
17,26,2006,1
17,27,2005,1
17,30,2014,1
17,32,2001,2
17,33,2010,1
17,33,2014,3
17,34,2014,1
17,34,2015,1
17,40,2015,1
17,45,2012,1
17,45,2014,2
17,49,1993,1
17,49,2014,1
17,49,1999,1
17,50,2014,1
17,51,2011,1
17,51,2005,1
17,51,2014,1
17,56,2015,1
17,57,2013,1
17,58,2012,1
17,58,2014,2
17,59,2007,1
17,61,2012,1
17,63,2011,1
17,63,2012,1
17,67,2012,1
17,67,2014,1
17,67,2015,1
17,68,2001,1
17,68,2004,1
17,72,2014,1
17,75,2008,1
17,75,2009,1
17,75,2015,1
17,77,2013,1
17,78,2012,1
17,82,2006,1
17,82,2009,1
17,82,2010,1
17,82,2011,1
17,82,2013,1
17,82,2014,2
17,85,2002,1
17,85,2003,1
17,85,2006,1
17,87,2001,1
17,87,2013,1
17,87,2014,1
17,88,1999,1
19,28,2006,1
19,30,2011,1
19,32,2008,1
19,32,2007,1
19,38,2009,1
19,49,2004,1
19,57,2008,1
19,57,2001,1
19,57,2002,1
19,57,2015,1
19,57,2007,1
19,58,2011,1
19,67,2007,1
19,80,2015,1
19,94,2002,1
19,94,2014,1
20,25,2006,1
20,27,2008,2
20,27,2007,1
20,30,2008,1
20,34,2006,1
20,34,2013,1
20,34,2014,1
20,34,2015,1
20,40,2011,1
20,40,2013,1
20,57,2011,1
20,58,2012,1
20,58,2014,1
20,58,2015,1
20,63,2010,1
20,63,2012,1
20,72,2015,1
20,75,2012,1
20,86,2012,3
20,86,2013,1
20,86,2014,2
20,86,2015,1
20,90,2013,1
20,90,2014,1
20,92,2015,1
21,26,2011,1
21,26,2006,1
21,30,2009,1
21,40,2004,1
21,44,2013,1
21,45,2014,1
21,58,2009,1
21,67,2007,1
21,69,2004,1
21,73,2013,1
21,76,2012,1
21,78,1999,1
21,82,2009,1
21,82,2010,1
21,82,2011,1
21,85,2006,1
22,24,1998,1
22,30,2013,1
22,37,1997,1
22,37,1998,1
22,37,2000,1
22,37,2001,3
22,37,2006,1
22,37,2009,1
22,37,2010,1
22,43,2009,1
22,49,2008,1
22,49,2013,1
22,49,1998,1
22,50,2008,1
22,50,2003,1
22,50,2007,1
22,55,2013,1
22,55,2014,1
22,55,1998,1
22,55,2015,4
22,57,2001,1
22,57,2003,1
22,57,2012,1
22,57,2005,1
22,60,1990,1
22,69,1993,1
22,69,1994,1
22,70,2014,1
22,75,1993,1
22,75,2003,1
22,78,2001,1
22,78,1998,1
22,78,1999,1
22,83,1998,1
22,85,1993,1
22,85,1995,1
22,85,2015,1
22,87,2013,1
22,88,2000,1
22,88,2001,2
22,88,1996,1
22,88,1997,2
22,88,1998,2
22,91,2008,1
22,91,2009,1
22,91,2004,1
22,94,2003,1
23,26,2014,1
23,34,2012,1
23,44,2009,1
23,49,2011,1
23,50,2008,1
23,50,2014,1
23,58,2012,1
23,71,2015,1
23,81,2007,1
23,93,2011,1
23,93,2012,1
24,40,2000,2
24,40,2010,1
24,40,1999,2
24,52,1999,1
24,53,1998,1
24,69,1997,1
25,27,2008,1
25,27,1993,1
25,27,1995,2
25,27,1996,1
25,27,1999,1
25,29,1992,1
25,29,1997,1
25,30,2007,1
25,34,2006,1
25,35,2000,1
25,35,1994,1
25,35,1995,1
25,35,1996,2
25,35,1991,1
25,36,2012,1
25,39,2002,1
25,40,1998,1
25,45,2012,1
25,46,1996,1
25,47,1993,1
25,49,2000,1
25,49,1993,1
25,49,1985,1
25,49,1989,1
25,49,1981,1
25,51,1997,1
25,53,1993,1
25,53,1986,1
25,53,2001,1
25,53,1991,1
25,54,2001,1
25,55,2001,1
25,56,1993,1
25,56,1986,1
25,56,1996,1
25,56,1989,1
25,57,2008,1
25,58,2012,1
25,61,2008,1
25,61,2012,1
25,62,2001,1
25,63,2001,1
25,63,2012,1
25,65,2009,1
25,68,1989,1
25,69,1993,1
25,69,1989,1
25,69,1990,1
25,69,1981,1
25,76,1993,1
25,76,1994,1
25,76,2002,1
25,78,1995,1
25,78,1996,1
25,78,1998,1
25,78,1999,2
25,85,2001,1
25,85,1995,1
25,88,1994,1
25,88,1996,1
25,91,2008,1
26,28,2005,1
26,28,2007,1
26,33,2006,1
26,33,2015,2
26,36,2008,1
26,40,2006,1
26,47,1998,1
26,49,1999,1
26,50,2014,1
26,50,2015,1
26,51,2010,1
26,53,2000,1
26,53,2004,1
26,53,2007,1
26,55,2012,1
26,55,2013,2
26,55,2014,1
26,55,2015,1
26,57,2004,1
26,57,2014,1
26,65,2005,1
26,65,2015,1
26,68,2000,1
26,68,2015,1
26,70,2015,1
26,75,2005,1
26,75,2013,1
26,78,2015,1
26,83,2011,1
26,85,1996,1
26,85,1997,1
26,85,2002,1
26,85,2006,1
26,85,2007,1
26,85,2010,1
26,85,2012,1
26,89,1982,1
27,30,2008,1
27,30,2000,1
27,30,2007,1
27,40,1995,1
27,40,1997,1
27,40,1998,1
27,40,2000,1
27,40,2001,1
27,40,2004,1
27,40,2005,1
27,40,2006,1
27,40,2007,1
27,40,2010,1
27,43,1997,1
27,46,2007,1
27,51,2005,1
27,52,1998,1
27,53,2008,1
27,53,1993,1
27,53,1996,1
27,58,2007,1
27,59,1989,1
27,59,2002,1
27,59,2003,1
27,59,2004,3
27,59,2005,3
27,59,2006,1
27,59,2007,1
27,59,2013,1
27,59,2014,1
27,61,2008,1
27,62,1995,2
27,62,1996,1
27,62,2007,1
27,62,2008,1
27,62,2013,1
27,62,2014,1
27,63,2004,1
27,63,2007,2
27,69,1998,1
27,69,1999,1
27,71,2014,2
27,73,2000,1
27,73,2008,1
27,73,2002,1
27,73,2005,1
27,73,2006,1
27,75,1995,1
27,75,2004,1
27,81,1998,1
27,81,2001,1
27,81,2003,1
27,81,2004,2
27,81,2006,1
27,81,2007,1
27,85,1993,1
27,85,1995,2
27,85,1997,1
27,85,1998,2
27,85,2000,3
27,85,2001,3
27,85,2002,1
27,85,2003,3
27,85,2004,3
27,85,2005,2
27,85,2007,1
27,85,2012,1
27,86,2000,1
27,86,2010,1
27,86,2006,1
27,86,2007,1
28,33,2005,1
28,36,2004,1
28,44,2013,1
28,50,2012,1
28,50,2013,1
28,50,2014,1
